Nodes, Files, TotalLines, Section, Runtime
8, 501, 501000, 0.00, initializeMPI
8, 501, 501000, 0.02, distributeFileNames
8, 501, 501000, 3.03, importData
8, 501, 501000, 39.61, sortData
8, 501, 501000, 0.00, exchangeMinMax
8, 501, 501000, 0.01, adaptBins
8, 501, 501000, 7.00, swapData
16, 501, 501000, 0.00, initializeMPI
16, 501, 501000, 0.10, distributeFileNames
16, 501, 501000, 2.66, importData
16, 501, 501000, 6.46, sortData
16, 501, 501000, 0.00, exchangeMinMax
16, 501, 501000, 0.02, adaptBins 
16, 501, 501000, 15.05, swapData
32, 501, 501000, 0.00, initializeMPI
32, 501, 501000, 0.37, distributeFileNames
32, 501, 501000, 7.29, importData
32, 501, 501000, 1.16, sortData
32, 501, 501000, 0.00, exchangeMinMax
32, 501, 501000, 5.29, adaptBins
32, 501, 501000, 31.28, swapData
64, 501, 501000, 0.00, initializeMPI
64, 501, 501000, 0.13, distributeFileNames
64, 501, 501000, 0.35, sortData
64, 501, 501000, 2.74, importData
64, 501, 501000, 0.00, exchangeMinMax
64, 501, 501000, 63.98, swapData
